Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Jonathan Taylor*,IND,RB,26,17,17,0,0,0,0,0,323,1585,4.91,18,55,46,378,8.22,2,2,1,20,1,,316,362.3,369.3,339.3,158,1,1
2,Christian McCaffrey*+,SFO,RB,29,17,17,0,1,0,0,0,311,1202,3.86,10,129,102,924,9.06,7,2,0,17,,,315,416.6,422.6,365.6,157,2,2
3,Bijan Robinson*+,ATL,RB,23,17,17,0,0,0,0,0,287,1478,5.15,7,103,79,820,10.38,4,4,3,11,1,,292,370.8,379.8,331.3,135,3,3
4,Jahmyr Gibbs*,DET,RB,23,17,17,0,0,0,0,0,243,1223,5.03,13,94,77,616,8,5,2,1,18,,,290,366.9,373.9,328.4,133,4,4
5,Puka Nacua*+,LAR,WR,24,16,15,0,0,0,0,0,10,105,10.5,1,166,129,1715,13.29,10,1,1,11,,,246,375,382,310.5,121,1,5
6,Jaxon Smith-Njigba*+,SEA,WR,23,17,17,0,0,0,0,0,7,36,5.14,0,163,119,1793,15.07,10,3,1,10,,,241,359.9,363.9,300.4,116,2,6
7,James Cook*,BUF,RB,26,17,17,0,0,0,0,0,309,1621,5.25,12,40,33,291,8.82,2,6,3,14,,,269,302.2,311.2,285.7,114,5,7
8,Derrick Henry,BAL,RB,31,17,17,0,1,0,0,0,307,1595,5.2,16,21,15,150,10,0,4,3,16,,,265,279.5,288.5,272,109,6,8
9,De'Von Achane*,MIA,RB,24,16,16,0,0,0,0,0,238,1350,5.67,8,85,67,488,7.28,4,1,0,12,,,256,322.8,328.8,289.3,101,7,9
10,Josh Allen*,BUF,QB,29,17,17,319,460,3668,25,10,112,579,5.17,14,0,0,0,,0,7,3,14,,1,365,364.6,383.6,374.6,87,1,10
11,Amon-Ra St. Brown*,DET,WR,26,17,17,0,0,0,0,0,3,9,3,0,172,117,1401,11.97,11,1,0,11,,,207,324,327,265.5,84,3,11
12,Trey McBride*+,ARI,TE,26,17,17,0,0,0,0,0,0,0,,0,169,126,1239,9.83,11,0,0,11,,,190,315.9,318.9,252.9,82,1,12
13,George Pickens*,DAL,WR,24,17,15,0,0,0,0,0,0,0,,0,137,93,1429,15.37,9,4,0,9,1,,199,291.9,294.9,245.4,77,4,13
14,Drake Maye*,NWE,QB,23,17,17,354,492,4394,31,8,103,450,4.37,4,1,1,2,2,0,8,3,4,1,1,351,352,369,359.5,74,2,14
15,Matthew Stafford*+,LAR,QB,37,17,17,388,597,4707,46,8,29,1,0.03,0,0,0,0,,0,7,3,0,,,350,350.4,364.4,358.4,74,3,15
16,Kyren Williams,LAR,RB,25,17,17,0,0,0,0,0,259,1252,4.83,10,50,36,281,7.81,3,2,2,13,,,227,263.3,271.3,245.3,74,8,16
17,Ja'Marr Chase*+,CIN,WR,25,16,16,0,0,0,0,0,3,14,4.67,0,185,125,1412,11.3,8,1,1,8,,,189,313.6,317.6,251.1,67,5,17
18,Travis Etienne,JAX,RB,26,17,16,0,0,0,0,0,260,1107,4.26,7,52,36,292,8.11,6,1,0,13,,,218,253.9,259.9,235.9,66,9,18
19,Trevor Lawrence,JAX,QB,26,17,17,341,560,4007,29,12,82,359,4.38,9,0,0,0,,0,5,3,9,1,,338,338.2,359.2,350.2,62,4,19
20,Chase Brown,CIN,RB,25,17,17,0,0,0,0,0,232,1019,4.39,6,88,69,437,6.33,5,2,0,11,1,,214,282.6,288.6,248.1,61,10,20
21,Javonte Williams,DAL,RB,25,16,16,0,0,0,0,0,252,1201,4.77,11,51,35,137,3.91,2,2,2,13,,,208,242.8,250.8,225.3,56,11,21
22,Josh Jacobs,GNB,RB,27,15,15,0,0,0,0,0,234,929,3.97,13,44,36,282,7.83,1,3,2,14,,,201,237.1,245.1,219.1,50,12,22
23,Chris Olave,NOR,WR,25,16,16,0,1,0,0,1,1,-3,-3,0,156,100,1163,11.63,9,0,0,9,,,168,268,272,219,48,6,23
24,D'Andre Swift,CHI,RB,26,16,16,0,0,0,0,0,223,1087,4.87,9,48,34,299,8.79,1,2,2,10,,,195,228.6,236.6,211.6,44,14,24
25,Saquon Barkley,PHI,RB,28,16,16,0,0,0,0,0,280,1140,4.07,7,50,37,273,7.38,2,1,1,9,1,,195,232.3,239.3,213.8,44,13,25
26,Davante Adams,LAR,WR,33,14,14,0,0,0,0,0,0,0,,0,114,60,789,13.15,14,0,0,14,,,163,222.9,225.9,192.9,43,7,26
27,Caleb Williams,CHI,QB,24,17,17,330,568,3942,27,7,77,388,5.04,3,2,2,22,11,1,9,1,4,,1,317,318.7,332.7,324.7,42,5,27
28,Dak Prescott*,DAL,QB,32,17,17,404,600,4552,30,10,53,177,3.34,2,0,0,0,,0,6,2,2,,3,314,313.8,331.8,323.8,39,6,28
29,Ashton Jeanty,LVR,RB,22,17,17,0,0,0,0,0,266,975,3.67,5,73,55,346,6.29,5,2,1,10,,,190,245.1,252.1,217.6,39,15,29
30,Zay Flowers*,BAL,WR,25,17,17,0,0,0,0,0,10,62,6.2,1,118,86,1211,14.08,5,3,3,6,,,157,243.3,249.3,200.3,37,8,30
31,Nico Collins*,HOU,WR,26,15,15,0,0,0,0,0,2,15,7.5,1,120,71,1117,15.73,6,1,1,7,1,,155,226.2,230.2,190.7,35,9,31
32,Jameson Williams,DET,WR,24,17,15,0,0,0,0,0,6,12,2,0,102,65,1117,17.18,7,0,0,7,,,155,219.9,222.9,187.4,35,10,32
33,Tee Higgins*,CIN,WR,26,15,14,0,0,0,0,0,0,0,,0,98,59,846,14.34,11,0,0,11,1,,153,211.6,214.6,182.1,33,11,33
34,Bo Nix,DEN,QB,25,17,17,388,612,3931,25,11,83,356,4.29,5,1,0,0,,0,4,2,5,,4,305,304.8,323.8,315.8,31,7,34
35,Rico Dowdle,CAR,RB,27,17,11,0,0,0,0,0,236,1076,4.56,6,50,39,297,7.62,1,2,1,7,,,177,216.3,223.3,196.8,27,16,35
36,Jaylen Warren,PIT,RB,27,16,15,0,0,0,0,0,211,958,4.54,6,45,40,333,8.33,2,1,0,8,,,177,217.1,223.1,197.1,27,17,36
37,Courtland Sutton*,DEN,WR,30,17,16,0,0,0,0,0,0,0,,0,124,74,1017,13.74,7,0,0,7,1,,146,219.7,222.7,182.7,27,12,37
38,Jalen Hurts*,PHI,QB,27,16,16,294,454,3224,25,6,105,421,4.01,8,0,0,0,,0,8,4,8,,,299,299.1,315.1,305.1,26,8,38
39,Jared Goff*,DET,QB,31,17,17,393,578,4564,34,8,19,45,2.37,0,0,0,0,,0,6,5,0,,,297,297.1,313.1,305.1,24,9,39
40,Michael Wilson,ARI,WR,25,17,13,0,0,0,0,0,0,0,,0,126,78,1006,12.9,7,0,0,7,,,143,220.6,223.6,181.6,24,13,40
41,A.J. Brown,PHI,WR,28,15,15,0,0,0,0,0,0,0,,0,121,78,1003,12.86,7,0,0,7,,,142,220.3,223.3,181.3,23,14,41
42,Breece Hall,NYJ,RB,24,16,16,1,1,4,1,0,243,1065,4.38,4,48,36,350,9.72,1,2,2,5,,,172,207.7,215.7,189.7,22,18,42
43,TreVeyon Henderson,NWE,RB,23,17,4,0,0,0,0,0,180,911,5.06,9,42,35,221,6.31,1,1,1,10,,,171,206.2,213.2,188.7,22,19,43
44,Tetairoa McMillan,CAR,WR,22,17,17,0,0,0,0,0,0,0,,0,122,70,1014,14.49,7,1,1,7,,,141,211.4,215.4,176.4,22,15,44
45,Dallas Goedert,PHI,TE,30,15,15,0,0,0,0,0,0,0,,0,82,60,591,9.85,11,0,0,11,,,125,185.1,188.1,155.1,21,2,45
46,Kyle Pitts,ATL,TE,25,17,17,0,0,0,0,0,0,0,,0,118,88,928,10.55,5,0,0,5,,,123,210.8,213.8,166.8,19,3,46
47,Alec Pierce,IND,WR,25,15,14,0,0,0,0,0,0,0,,0,84,47,1003,21.34,6,0,0,6,,,136,183.3,186.3,159.8,18,16,47
48,Drake London,ATL,WR,24,12,12,0,0,0,0,0,0,0,,0,112,68,919,13.51,7,1,1,7,1,,134,201.9,205.9,167.9,15,17,48
49,Hunter Henry,NWE,TE,31,17,17,0,0,0,0,0,0,0,,0,87,60,768,12.8,7,0,0,7,,,119,178.8,181.8,148.8,15,4,49
50,Justin Herbert*,LAC,QB,27,16,16,340,512,3727,26,13,83,498,6,2,0,0,0,,0,7,2,2,1,,287,286.9,307.9,299.9,14,10,50
51,Emeka Egbuka,TAM,WR,23,17,13,0,0,0,0,0,2,9,4.5,0,127,63,938,14.89,6,0,0,6,1,,133,195.7,198.7,164.2,14,18,51
52,Travis Kelce*,KAN,TE,36,17,17,0,0,0,0,0,1,1,1,0,108,76,851,11.2,5,1,0,5,1,,117,193.2,196.2,155.2,13,5,52
53,Patrick Mahomes,KAN,QB,30,14,14,315,502,3587,22,11,64,422,6.59,5,1,1,-10,-10,0,3,0,5,,2,285,285.7,302.7,296.2,12,11,53
54,Zach Charbonnet,SEA,RB,24,16,0,0,0,0,0,0,184,730,3.97,12,24,20,144,7.2,0,0,0,12,1,,161,181.4,187.4,171.4,12,20,54
55,Kenneth Walker III,SEA,RB,25,17,17,0,0,0,0,0,221,1027,4.65,5,36,31,282,9.1,0,1,0,5,,,161,191.9,197.9,176.4,12,21,55
56,Jaylen Waddle,MIA,WR,27,16,16,1,1,8,0,0,2,28,14,0,100,64,910,14.22,6,1,0,6,,,130,194.1,197.1,162.1,12,19,56
57,RJ Harvey,DEN,RB,24,17,7,0,1,0,0,0,146,540,3.7,7,58,47,356,7.57,5,1,1,12,,,160,206.6,213.6,183.1,11,22,57
58,Harold Fannin,CLE,TE,21,16,13,0,0,0,0,0,7,13,1.86,1,107,72,731,10.15,6,1,1,7,,,114,186.4,190.4,150.4,11,6,58
59,D.K. Metcalf,PIT,WR,28,15,15,0,0,0,0,0,2,12,6,1,99,59,850,14.41,6,0,0,7,,,128,187.2,190.2,157.7,10,20,59
60,Parker Washington,JAX,WR,23,16,7,0,0,0,0,0,7,0,0,0,95,58,847,14.6,5,2,0,7,,,127,184.7,187.7,155.7,9,21,60
61,Tyler Warren*,IND,TE,23,17,12,0,1,0,0,0,6,8,1.33,1,112,76,817,10.75,4,1,0,5,,,113,188.5,191.5,150.5,9,7,61
